club,session_count,first_session,last_session,avg_ball_speed_first,avg_ball_speed_last,avg_ball_speed_change,avg_ball_speed_pct_change,avg_ball_speed_slope_per_session,avg_carry_first,avg_carry_last,avg_carry_change,avg_carry_pct_change,avg_carry_slope_per_session,avg_smash_factor_first,avg_smash_factor_last,avg_smash_factor_change,avg_smash_factor_pct_change,avg_smash_factor_slope_per_session,std_carry_first,std_carry_last,std_carry_change,std_carry_pct_change,std_carry_slope_per_session,std_dispersion_first,std_dispersion_last,std_dispersion_change,std_dispersion_pct_change,std_dispersion_slope_per_session
56° Wedge,2,2026-03-19,2026-04-24,74.006129205314,75.61483791714285,1.6087087118288537,2.1737506462009915,1.6087087118288395,84.66388152101455,86.56179169428572,1.8979101732711712,2.241699930566127,1.897910173271157,1.0554088997380573,1.0167415175714285,-0.038667382166628794,-3.6637347075835422,-0.03866738216662913,7.828753287236061,3.380762691939749,-4.447990595296312,-56.81607827070347,-4.447990595296312,4.504580372980633,3.0655320152660517,-1.4390483577145812,-31.946335475470235,-1.439048357714582
7 Iron,3,2026-02-02,2026-04-24,119.07645652608694,118.29520167391304,-0.7812548521739018,-0.6560951467368754,-0.3906274260869381,169.2661123043478,165.19101937826088,-4.075092926086938,-2.4075066595490444,-2.0375464630434412,1.367627159043478,1.3645309595217392,-0.003096199521738896,-0.22639207632468966,-0.0015480997608693595,5.277517324396441,4.4270216667029265,-0.8504956576935143,-16.115449849153844,-0.4252478288467572,6.61638100748207,8.865890768435552,2.249509760953482,33.99909646088467,1.1247548804767429
8 Iron,2,2026-03-19,2026-04-24,113.48209744604478,110.5524673325,-2.929630113544775,-2.581579103204073,-2.929630113544789,155.64412995788857,150.66656583333332,-4.9775641245552436,-3.1980416645985845,-4.977564124555272,1.3556719581346373,1.3265290288333333,-0.02914292930130391,-2.149703630471466,-0.0291429293013038,5.6526615328966425,9.241656121182931,3.5889945882862886,63.49211902038559,3.5889945882862877,11.45589302168037,15.135606622670075,3.6797136009897056,32.12070498586028,3.679713600989702
Driver,2,2026-02-02,2026-04-24,163.945004925,162.65394596000002,-1.2910589649999906,-0.787495151554396,-1.2910589650000333,273.173907975,268.79970757,-4.3742004050000105,-1.6012511727146077,-4.374200405000067,1.484763049375,1.4821513617,-0.002611687674999974,-0.17589929087333797,-0.002611687675000196,6.46353795054572,9.21737020914515,2.75383225859943,42.6056484802866,2.7538322585994273,20.65344912119251,33.73308983642964,13.079640715237133,63.32908677135245,13.079640715237131
